horizont;benchmark;metrics;TimeGPT (zero-shot);TimeGPT (few-shot);GTT-Small (zero-shot);GTT-Small (finetune);GTT-Tiny (zero-shot);GTT-Tiny (finetune);UniTime (zero-shot);UniTime (finetune);Lag-Llama (zero-shot);PatchTST;SegRNN;SparseTFT
720;ETTm2;MSE;19.585;9.018;0.285;0.343;0.198;0.348;0.482;0.183;49.698;0.172;0.161;0.173
24;exchange_rate;MSE;0.059;0;0.029;0.035;0.046;0.035;0.063;0.046;0.0004;0.033;0.026;0.066
96;exchange_rate;MSE;0.061;0;0.149;0.147;0.216;0.141;0.152;0.111;0.0002;0.150;0.100;0.144
192;exchange_rate;MSE;0.064;0.002;0.365;0.367;0.370;0.327;0.249;0.219;0.002;0.261;0.209;0.369
336;exchange_rate;MSE;0.094;0.003;0.986;0.951;0.878;0.838;0.397;0.429;0.002;0.453;0.593;0.496
720;exchange_rate;MSE;0.094;0.013;2.028;2.081;1.676;1.945;0.945;1.215;0.011;1.321;0.843;1.044
24;weather;MSE;93.442;47.185;0.0003;0.086;0.0003;0.090;0.206;0.001;;0.001;0.0004;0.001
96;weather;MSE;92.097;98.665;0.0008;0.135;0.0009;0.147;0.268;0.002;;0.001;0.001;0.001
192;weather;MSE;60.032;59.597;0.001;0.179;0.001;0.191;0.312;0.002;;0.001;0.001;0.002
336;weather;MSE;61.101;43.522;0.001;0.230;0.002;0.240;0.361;0.002;;0.002;0.001;0.002
720;weather;MSE;63.333;47.210;0.002;0.302;0.002;0.310;0.428;0.002;;0.002;0.002;0.002
24;illness;MSE;10000;10000;0.567;1.146;0.543;1.083;5.150;0.749;10000;0.426;0.760;0.771
36;illness;MSE;10000;10000;0.639;1.260;0.685;1.207;3.852;0.710;10000;0.571;0.717;0.641
48;illness;MSE;10000;10000;0.698;1.381;0.874;1.386;3.115;0.676;10000;0.724;0.768;0.668
60;illness;MSE;10000;10000;0.837;1.582;1.021;1.646;2.972;0.743;10000;0.889;0.767;0.645
