horizont;benchmark;metrics;GTT-Small (zero-shot);GTT-Small (finetune);GTT-Tiny (zero-shot);GTT-Tiny (finetune);UniTime (zero-shot);UniTime (finetune);PatchTST;SegRNN;SparseTSF;ModernTCN;Repeat_Closest
24;weather;MAE;0.098;0.099;0.105;0.105;0.203;0.145;0.121;0.104;0.154;0.129;0.135
96;weather;MAE;0.167;0.170;0.184;0.185;0.303;0.219;0.200;0.186;0.225;0.204;0.254
192;weather;MAE;0.214;0.218;0.229;0.230;0.333;0.258;0.241;0.231;0.264;0.247;0.292
336;weather;MAE;0.258;0.262;0.271;0.271;0.370;0.297;0.282;0.271;0.296;0.282;0.338
720;weather;MAE;0.312;0.314;0.319;0.321;0.409;0.346;0.335;0.324;0.340;0.343;0.394
24;illness;MAE;0.776;0.650;0.649;0.630;1.821;0.901;0.751;1.194;0.991;0.718;1.622
36;illness;MAE;0.812;0.682;0.702;0.670;1.504;0.863;0.829;1.247;0.950;0.819;1.906
48;illness;MAE;0.851;0.716;0.769;0.721;1.360;0.864;0.868;1.228;0.996;0.781;1.952
60;illness;MAE;0.894;0.762;0.830;0.791;1.339;0.888;0.873;1.174;0.979;0.868;1.788
24;de_small;MAE;0.249;0.330;0.298;0.524;0.981;0.440;0.203;0.378;0.451;0.254;0.996
36;de_small;MAE;0.294;0.369;0.336;0.520;1.012;0.515;0.213;0.463;0.515;0.288;1.065
48;de_small;MAE;0.324;0.381;0.368;0.503;1.011;0.553;0.224;0.526;0.541;0.343;1.067
60;de_small;MAE;0.351;0.376;0.400;0.481;1.033;0.603;0.237;0.612;0.577;0.291;1.111
24;de_big;MAE;0.166;0.132;0.161;0.138;0.926;0.245;0.226;0.163;0.185;0.208;0.895
96;de_big;MAE;0.235;0.196;0.227;0.203;0.924;0.283;0.272;0.227;0.240;0.257;1.068
192;de_big;MAE;0.277;0.237;0.265;0.241;0.903;0.300;0.298;0.277;0.270;0.290;1.056
336;de_big;MAE;0.328;0.268;0.295;0.272;0.913;0.331;0.335;0.328;0.320;0.352;1.093
720;de_big;MAE;0.410;0.301;0.330;0.310;0.948;0.392;0.381;0.382;0.365;0.403;1.124
24;ETTh1;MSE;0.311;0.305;0.299;0.292;0.523;0.397;0.327;0.281;0.318;0.321;1.222
96;ETTh1;MSE;0.376;0.365;0.390;0.363;0.626;0.403;0.375;0.344;0.354;0.369;1.294
192;ETTh1;MSE;0.405;0.406;0.432;0.417;0.736;0.438;0.414;0.383;0.398;0.406;1.325
336;ETTh1;MSE;0.426;0.446;0.461;0.455;0.877;0.465;0.431;0.398;0.405;0.392;1.330
720;ETTh1;MSE;0.452;0.528;0.500;0.519;1.242;0.453;0.450;0.449;0.418;0.450;1.335
24;ETTh2;MSE;0.142;0.141;0.148;0.154;0.192;0.182;0.170;0.163;0.200;0.157;0.271
