horizont;benchmark;metrics;GTT-Small (zero-shot);GTT-Small (finetune);GTT-Tiny (zero-shot);GTT-Tiny (finetune);UniTime_8 (zero-shot);UniTime_8 (finetune);UniTime (zero-shot);UniTime (finetune);PatchTST;SegRNN;SparseTSF;ModernTCN;Repeat_Closest
24;ETTh2;MSE;0.069;0.142;0.067;0.155;0.210;0.075;0.324;0.084;0.070;0.062;0.105;0.068;0.229
96;ETTh2;MSE;0.123;0.221;0.121;0.224;0.244;0.131;0.430;0.138;0.129;0.126;0.139;0.128;0.296
192;ETTh2;MSE;0.149;0.263;0.151;0.267;0.286;0.182;0.503;0.186;0.168;0.182;0.164;0.168;0.337
336;ETTh2;MSE;0.175;0.299;0.175;0.303;0.321;0.218;0.521;0.222;0.185;0.168;0.182;0.173;0.390
720;ETTh2;MSE;0.232;0.375;0.221;0.371;0.362;0.228;0.516;0.251;0.223;0.188;0.249;0.258;0.437
24;ETTm1;MSE;0.013;0.197;0.011;0.190;0.027;0.012;1.381;0.013;0.010;0.010;0.010;0.010;0.012
96;ETTm1;MSE;0.035;0.287;0.031;0.293;0.042;0.030;1.030;0.030;0.026;0.027;0.026;0.026;0.033
192;ETTm1;MSE;0.055;0.327;0.046;0.332;0.054;0.045;1.016;0.044;0.039;0.040;0.039;0.041;0.049
336;ETTm1;MSE;0.077;0.364;0.058;0.368;0.065;0.060;0.992;0.058;0.053;0.052;0.053;0.054;0.065
720;ETTm1;MSE;0.118;0.427;0.075;0.430;0.087;0.084;1.012;0.082;0.075;0.079;0.070;0.071;0.089
24;ETTm2;MSE;0.032;0.091;0.024;0.094;0.230;0.034;0.236;0.034;0.018;0.017;0.025;0.026;0.099
96;ETTm2;MSE;0.092;0.157;0.071;0.164;0.191;0.076;0.279;0.070;0.065;0.060;0.065;0.068;0.228
192;ETTm2;MSE;0.140;0.212;0.103;0.219;0.208;0.109;0.336;0.102;0.094;0.090;0.095;0.097;0.257
336;ETTm2;MSE;0.193;0.264;0.136;0.270;0.228;0.139;0.386;0.131;0.120;0.111;0.123;0.120;0.287
720;ETTm2;MSE;0.285;0.343;0.198;0.348;0.270;0.192;0.482;0.183;0.172;0.161;0.173;0.178;0.332
24;exchange_rate;MSE;0.029;0.035;0.046;0.035;0.087;0.043;0.063;0.046;0.033;0.026;0.066;0.025;0.024
96;exchange_rate;MSE;0.149;0.147;0.216;0.141;0.159;0.105;0.152;0.111;0.150;0.100;0.144;0.089;0.088
192;exchange_rate;MSE;0.365;0.367;0.370;0.327;0.266;0.216;0.249;0.219;0.261;0.209;0.369;0.193;0.187
336;exchange_rate;MSE;0.986;0.951;0.878;0.838;0.459;0.427;0.397;0.429;0.453;0.593;0.496;0.406;0.370
720;exchange_rate;MSE;2.028;2.081;1.676;1.945;1.054;1.135;0.945;1.215;1.321;0.843;1.044;0.555;1.002
24;weather;MSE;0.0003;0.086;0.0003;0.090;0.001;0.001;0.206;0.001;0.001;0.0004;0.001;0.001;0.0004
96;weather;MSE;0.001;0.135;0.001;0.147;0.001;0.001;0.268;0.002;0.001;0.001;0.001;0.001;0.001
192;weather;MSE;0.001;0.179;0.001;0.191;0.002;0.002;0.312;0.002;0.001;0.001;0.002;0.001;0.002
336;weather;MSE;0.001;0.230;0.002;0.240;0.002;0.002;0.361;0.002;0.002;0.001;0.002;0.002;0.002
720;weather;MSE;0.002;0.302;0.002;0.310;0.002;0.002;0.428;0.002;0.002;0.002;0.002;0.002;0.002
24;illness;MSE;0.567;1.146;0.543;1.083;0.728;0.778;5.150;0.749;0.426;0.760;0.771;0.683;1.427
36;illness;MSE;0.639;1.260;0.685;1.207;0.772;0.738;3.852;0.710;0.571;0.717;0.641;0.516;1.721
48;illness;MSE;0.698;1.381;0.874;1.386;0.783;0.743;3.115;0.676;0.724;0.768;0.668;0.584;1.631
60;illness;MSE;0.837;1.582;1.021;1.646;0.809;0.794;2.972;0.743;0.889;0.767;0.645;0.598;1.363
24;de_small;MSE;0.163;0.195;0.253;0.307;1.832;0.460;1.205;0.373;0.111;0.112;0.394;0.133;1.568
36;de_small;MSE;0.225;0.249;0.314;0.331;1.769;0.488;1.232;0.490;0.125;0.274;0.427;0.121;1.782
48;de_small;MSE;0.261;0.276;0.366;0.337;1.759;0.488;1.173;0.597;0.135;0.347;0.512;0.198;1.787
60;de_small;MSE;0.290;0.287;0.414;0.317;1.828;0.480;1.214;0.688;0.150;0.405;0.577;0.161;1.937
24;de_big;MSE;0.049;0.033;0.055;0.043;1.572;0.152;1.331;0.131;0.085;0.107;0.061;0.073;1.284
96;de_big;MSE;0.103;0.075;0.114;0.090;1.458;0.212;1.353;0.174;0.132;0.143;0.108;0.124;1.795
192;de_big;MSE;0.147;0.114;0.156;0.127;1.405;0.226;1.428;0.193;0.168;0.205;0.146;0.166;1.747
336;de_big;MSE;0.205;0.147;0.191;0.163;1.472;0.283;1.440;0.231;0.218;0.225;0.204;0.258;1.870
720;de_big;MSE;0.318;0.191;0.225;0.201;1.591;0.412;1.503;0.313;0.299;0.313;0.254;0.317;1.971
